,CurrentAge,Amount,qx_count,A/E
0,18,2.0,1.9431,1.0292831043178425
1,19,6.0,7.183002,0.8353053500472365
2,20,15.0,13.864092,1.0819316548101383
3,21,24.0,21.14391,1.1350786112880729
4,22,32.0,28.74684,1.1131658297051086
5,23,47.0,36.663318000000004,1.2819352574690592
6,24,51.0,45.316584,1.125415808040606
7,25,50.0,55.814934,0.8958175960577146
8,26,78.0,68.403144,1.140298463474135
9,27,94.0,84.187894,1.1165500826045132
10,28,93.0,98.551114,0.943672742248251
11,29,119.0,113.358298,1.049768760642472
12,30,133.0,129.476394,1.027214273514599
13,31,143.0,147.848394,0.9672069890728742
14,32,143.0,169.274498,0.8447817107099027
15,33,176.0,192.401638,0.9147531269978065
16,34,202.0,216.666904,0.932306671073308
17,35,236.0,243.446092,0.9694137953136664
18,36,270.0,274.35944,0.9841104793040837
19,37,322.0,310.75971,1.0361703581201052
20,38,308.0,353.78912,0.870575104175052
21,39,391.0,402.953706,0.9703347907662624
22,40,457.0,459.178396,0.9952558830751261
23,41,510.0,522.641338,0.9758125944488532
24,42,655.0,593.7600639999999,1.103139196643579
25,43,685.0,676.73626,1.0122111677598005
26,44,851.0,772.04942,1.102261044377185
27,45,922.0,880.383104,1.047271347906286
28,46,1023.0,1002.568776,1.020378875234391
29,47,1256.0,1137.292614,1.1043771713090542
30,48,1395.0,1289.67158,1.0816707304661237
31,49,1544.0,1458.374838,1.0587127258156932
32,50,1781.0,1645.61068,1.0822729954572243
33,51,1877.0,1853.452542,1.0127046457712863
34,52,2207.0,2084.594442,1.0587191232662798
35,53,2478.0,2337.49358,1.0601098634889086
36,54,2797.0,2615.4066199999997,1.0694321787714984
37,55,3083.0,2910.47289,1.0592780336806367
38,56,3434.0,3227.57737,1.063955904486962
39,57,3722.0,3558.754426,1.045871547867237
40,58,4181.0,3908.630828,1.0696840361716555
41,59,4613.0,4278.326808,1.0782252518377506
42,60,4945.0,4643.616678,1.0649027133156488
43,61,5532.0,5005.141652,1.105263424021071
44,62,5694.0,5360.216948,1.0622704370435119
45,63,5984.0,5697.684322,1.0502512357335194
46,64,6351.0,6026.13083,1.0539100758288715
47,65,6716.0,6339.041303999999,1.0594661996857688
48,66,7182.0,6652.441818,1.0796035796310364
49,67,7361.0,6943.854238,1.0600740954090286
50,68,7745.0,7206.513138,1.074722248012087
51,69,7837.0,7437.371016,1.0537325599516656
52,70,8058.0,7654.6543,1.0526928694872608
53,71,8438.0,7836.630717999999,1.0767382442327813
54,72,8422.0,7987.808178,1.0543568163286456
55,73,8658.0,8125.8382919999995,1.065490068701456
56,74,8736.0,8199.814568,1.0653899460229843
57,75,8904.0,8245.76554,1.0798269677699324
58,76,8679.0,8251.819207999999,1.0517680745581357
59,77,8656.0,8238.433962,1.0506851229160827
60,78,8720.0,8190.126346,1.0646966397849023
61,79,8376.0,8082.935918,1.0362571329246062
62,80,8507.0,7947.04482,1.0704608055803062
63,81,8043.0,7753.725166,1.0373078523944164
64,82,7945.0,7583.252426,1.047703485744416
65,83,7765.0,7421.9501199999995,1.0462209896932049
66,84,7537.0,7209.256404,1.0454614980566033
67,85,7203.0,7000.354638,1.0289478708549966
68,86,7246.0,6882.078584,1.052879578685148
69,87,6857.0,6625.559058,1.0349315340749319
70,88,6480.0,6281.2048159999995,1.0316492121851548
71,89,5958.0,5827.092102,1.0224653902338474
72,90,5063.0,4860.489094,1.0416647177029958
73,91,3841.0,3871.330216,0.9921654278225488
74,92,3071.0,2981.842368,1.0299001828389072
75,93,2330.0,2245.299966,1.0377232598238948
76,94,1717.0,1678.789278,1.0227608804158683
77,95,1287.0,2153.879878,0.5975263584313962
