,FaceAmount_band,Amount,qx_count,A/E
0,< 100,89530.0,84725.215186,1.0567102108085757
1,101-250,99883.0,95736.382052,1.0433128749919516
2,251-500,57708.0,54911.78352,1.0509219752256191
3,501-1M,27207.0,25969.380572,1.0476568713130723
4,1M - 1.5M,6190.0,5841.0640459999995,1.059738422871592
5,1.5M -2M,2030.0,1911.178594,1.0621717961749
6,2M,1183.0,1106.9048559999999,1.0687458760231512
7,3M,328.0,287.465782,1.1410053666839555
8,4M,100.0,106.104336,0.9424685528402911
9,5M,91.0,82.637666,1.1011927660202794
