,StudyYear,FaceAmount,qx_amount,A/E
0,2010,8778270000,8393456533.474,1.0458468409279684
1,2011,7572640000,7220337469.486,1.0487930837032025
2,2012,6660095000,6420612950.792,1.0372989387529519
3,2013,6177242000,5846213857.838,1.0566226536030994
4,2014,5581102000,5382647324.458,1.0368693439453573
5,2015,5181806000,5012873395.87,1.0336997547692268
6,2016,4897383000,4694274263.542,1.0432673348541734
7,2017,4615463000,4423289565.422,1.0434458182616553
8,2018,4337394000,4182327195.514,1.0370766793789654
9,2019,4128385000,3962203382.45,1.0419417181576487
10,2020,3852076000,3775806061.2799997,1.020199644124239
11,2021,4495028000,3606979333.9119997,1.2462028705678374
12,2022,3756302000,3422413437.524,1.0975593885926176
13,2023,3151209000,3269447264.35,0.9638353963866406
14,2024,3339111000,3139086067.93,1.0637207543028286
